time_slot,carbon_intensity,image_name,budget
08:00,230,immagine1.jpeg,0.005
08:00,230,immagine1.jpeg,0.006907
08:00,230,immagine1.jpeg,0.008814
08:00,230,immagine1.jpeg,0.010721
08:00,230,immagine1.jpeg,0.012629
08:00,230,immagine1.jpeg,0.014536
08:00,230,immagine1.jpeg,0.016443
08:00,230,immagine1.jpeg,0.01835
08:00,230,immagine2.jpeg,0.005
08:00,230,immagine2.jpeg,0.006907
08:00,230,immagine2.jpeg,0.008814
08:00,230,immagine2.jpeg,0.010721
08:00,230,immagine2.jpeg,0.012629
08:00,230,immagine2.jpeg,0.014536
08:00,230,immagine2.jpeg,0.016443
08:00,230,immagine2.jpeg,0.01835
08:00,230,immagine3.jpeg,0.005
08:00,230,immagine3.jpeg,0.006907
08:00,230,immagine3.jpeg,0.008814
08:00,230,immagine3.jpeg,0.010721
08:00,230,immagine3.jpeg,0.012629
08:00,230,immagine3.jpeg,0.014536
08:00,230,immagine3.jpeg,0.016443
08:00,230,immagine3.jpeg,0.01835
08:00,230,immagine4.jpeg,0.005
08:00,230,immagine4.jpeg,0.006907
08:00,230,immagine4.jpeg,0.008814
08:00,230,immagine4.jpeg,0.010721
08:00,230,immagine4.jpeg,0.012629
08:00,230,immagine4.jpeg,0.014536
08:00,230,immagine4.jpeg,0.016443
08:00,230,immagine4.jpeg,0.01835
08:00,230,immagine5.jpeg,0.005
08:00,230,immagine5.jpeg,0.006907
08:00,230,immagine5.jpeg,0.008814
08:00,230,immagine5.jpeg,0.010721
08:00,230,immagine5.jpeg,0.012629
08:00,230,immagine5.jpeg,0.014536
08:00,230,immagine5.jpeg,0.016443
08:00,230,immagine5.jpeg,0.01835
08:00,230,immagine6.jpeg,0.005
08:00,230,immagine6.jpeg,0.006907
08:00,230,immagine6.jpeg,0.008814
08:00,230,immagine6.jpeg,0.010721
08:00,230,immagine6.jpeg,0.012629
08:00,230,immagine6.jpeg,0.014536
08:00,230,immagine6.jpeg,0.016443
08:00,230,immagine6.jpeg,0.01835
08:00,230,immagine7.jpeg,0.005
08:00,230,immagine7.jpeg,0.006907
08:00,230,immagine7.jpeg,0.008814
08:00,230,immagine7.jpeg,0.010721
08:00,230,immagine7.jpeg,0.012629
08:00,230,immagine7.jpeg,0.014536
08:00,230,immagine7.jpeg,0.016443
08:00,230,immagine7.jpeg,0.01835
08:00,230,immagine8.jpeg,0.005
08:00,230,immagine8.jpeg,0.006907
08:00,230,immagine8.jpeg,0.008814
08:00,230,immagine8.jpeg,0.010721
08:00,230,immagine8.jpeg,0.012629
08:00,230,immagine8.jpeg,0.014536
08:00,230,immagine8.jpeg,0.016443
08:00,230,immagine8.jpeg,0.01835
08:00,230,immagine9.jpeg,0.005
08:00,230,immagine9.jpeg,0.006907
08:00,230,immagine9.jpeg,0.008814
08:00,230,immagine9.jpeg,0.010721
08:00,230,immagine9.jpeg,0.012629
08:00,230,immagine9.jpeg,0.014536
08:00,230,immagine9.jpeg,0.016443
08:00,230,immagine9.jpeg,0.01835
08:00,230,immagine10.jpeg,0.005
08:00,230,immagine10.jpeg,0.006907
08:00,230,immagine10.jpeg,0.008814
08:00,230,immagine10.jpeg,0.010721
08:00,230,immagine10.jpeg,0.012629
08:00,230,immagine10.jpeg,0.014536
08:00,230,immagine10.jpeg,0.016443
08:00,230,immagine10.jpeg,0.01835
08:30,210,immagine1.jpeg,0.005
08:30,210,immagine1.jpeg,0.006907
08:30,210,immagine1.jpeg,0.008814
08:30,210,immagine1.jpeg,0.010721
08:30,210,immagine1.jpeg,0.012629
08:30,210,immagine1.jpeg,0.014536
08:30,210,immagine1.jpeg,0.016443
08:30,210,immagine1.jpeg,0.01835
08:30,210,immagine2.jpeg,0.005
08:30,210,immagine2.jpeg,0.006907
08:30,210,immagine2.jpeg,0.008814
08:30,210,immagine2.jpeg,0.010721
08:30,210,immagine2.jpeg,0.012629
08:30,210,immagine2.jpeg,0.014536
08:30,210,immagine2.jpeg,0.016443
08:30,210,immagine2.jpeg,0.01835
08:30,210,immagine3.jpeg,0.005
08:30,210,immagine3.jpeg,0.006907
08:30,210,immagine3.jpeg,0.008814
08:30,210,immagine3.jpeg,0.010721
08:30,210,immagine3.jpeg,0.012629
08:30,210,immagine3.jpeg,0.014536
08:30,210,immagine3.jpeg,0.016443
08:30,210,immagine3.jpeg,0.01835
08:30,210,immagine4.jpeg,0.005
08:30,210,immagine4.jpeg,0.006907
08:30,210,immagine4.jpeg,0.008814
08:30,210,immagine4.jpeg,0.010721
08:30,210,immagine4.jpeg,0.012629
08:30,210,immagine4.jpeg,0.014536
08:30,210,immagine4.jpeg,0.016443
08:30,210,immagine4.jpeg,0.01835
08:30,210,immagine5.jpeg,0.005
08:30,210,immagine5.jpeg,0.006907
08:30,210,immagine5.jpeg,0.008814
08:30,210,immagine5.jpeg,0.010721
08:30,210,immagine5.jpeg,0.012629
08:30,210,immagine5.jpeg,0.014536
08:30,210,immagine5.jpeg,0.016443
08:30,210,immagine5.jpeg,0.01835
08:30,210,immagine6.jpeg,0.005
08:30,210,immagine6.jpeg,0.006907
08:30,210,immagine6.jpeg,0.008814
08:30,210,immagine6.jpeg,0.010721
08:30,210,immagine6.jpeg,0.012629
08:30,210,immagine6.jpeg,0.014536
08:30,210,immagine6.jpeg,0.016443
08:30,210,immagine6.jpeg,0.01835
08:30,210,immagine7.jpeg,0.005
08:30,210,immagine7.jpeg,0.006907
08:30,210,immagine7.jpeg,0.008814
08:30,210,immagine7.jpeg,0.010721
08:30,210,immagine7.jpeg,0.012629
08:30,210,immagine7.jpeg,0.014536
08:30,210,immagine7.jpeg,0.016443
08:30,210,immagine7.jpeg,0.01835
08:30,210,immagine8.jpeg,0.005
08:30,210,immagine8.jpeg,0.006907
08:30,210,immagine8.jpeg,0.008814
08:30,210,immagine8.jpeg,0.010721
08:30,210,immagine8.jpeg,0.012629
08:30,210,immagine8.jpeg,0.014536
08:30,210,immagine8.jpeg,0.016443
08:30,210,immagine8.jpeg,0.01835
08:30,210,immagine9.jpeg,0.005
08:30,210,immagine9.jpeg,0.006907
08:30,210,immagine9.jpeg,0.008814
08:30,210,immagine9.jpeg,0.010721
08:30,210,immagine9.jpeg,0.012629
08:30,210,immagine9.jpeg,0.014536
08:30,210,immagine9.jpeg,0.016443
08:30,210,immagine9.jpeg,0.01835
08:30,210,immagine10.jpeg,0.005
08:30,210,immagine10.jpeg,0.006907
08:30,210,immagine10.jpeg,0.008814
08:30,210,immagine10.jpeg,0.010721
08:30,210,immagine10.jpeg,0.012629
08:30,210,immagine10.jpeg,0.014536
08:30,210,immagine10.jpeg,0.016443
08:30,210,immagine10.jpeg,0.01835
09:00,270,immagine1.jpeg,0.005
09:00,270,immagine1.jpeg,0.006907
09:00,270,immagine1.jpeg,0.008814
09:00,270,immagine1.jpeg,0.010721
09:00,270,immagine1.jpeg,0.012629
09:00,270,immagine1.jpeg,0.014536
09:00,270,immagine1.jpeg,0.016443
09:00,270,immagine1.jpeg,0.01835
09:00,270,immagine2.jpeg,0.005
09:00,270,immagine2.jpeg,0.006907
09:00,270,immagine2.jpeg,0.008814
09:00,270,immagine2.jpeg,0.010721
09:00,270,immagine2.jpeg,0.012629
09:00,270,immagine2.jpeg,0.014536
09:00,270,immagine2.jpeg,0.016443
09:00,270,immagine2.jpeg,0.01835
09:00,270,immagine3.jpeg,0.005
09:00,270,immagine3.jpeg,0.006907
09:00,270,immagine3.jpeg,0.008814
09:00,270,immagine3.jpeg,0.010721
09:00,270,immagine3.jpeg,0.012629
